location	Township	range	meridian	rate								
100104	1	1	4	0,06							
100105	1	1	5	0,06					
100204	1	2	4	0,06					
100205	1	2	5	0,06								
100304	1	3	4	0,06								
100404	1	4	4	0,06								
100504	1	5	4	0,06								
100604	1	6	4	0,06								
100704	1	7	4	0,07								
100804	1	8	4	0,07								
100904	1	9	4	0,07								
101004	1	10	4	0,07								
101104	1	11	4	0,06								
101204	1	12	4	0,06								
101304	1	13	4	0,05								
101404	1	14	4	0,05								
101504	1	15	4	0,06								
101604	1	16	4	0,04								
101704	1	17	4	0,05								
101804	1	18	4	0,06								
101904	1	19	4	0,06								
102004	1	20	4	0,07								
102104	1	21	4	0,11								
102204	1	22	4	0,1								
102304	1	23	4	0,08								
102404	1	24	4	0,06								
102504	1	25	4	0,06								
102604	1	26	4	0,07								
102704	1	27	4	0,07								
102803	1	28	3	0,06								
102804	1	28	4	0,06								
102903	1	29	3	0,06								
102904	1	29	4	0,06								
103003	1	30	3	0,06								
103004	1	30	4	0,06								
200104	2	1	4	0,06								
200105	2	1	5	0,06								
200204	2	2	4	0,06								
200205	2	2	5	0,06								
200304	2	3	4	0,06								
200404	2	4	4	0,06								
200504	2	5	4	0,06								
200604	2	6	4	0,06								
200704	2	7	4	0,06								
200804	2	8	4	0,07								
200904	2	9	4	0,07								
201004	2	10	4	0,07								
201104	2	11	4	0,07								
201204	2	12	4	0,05								
201304	2	13	4	0,06								
201404	2	14	4	0,06								
201504	2	15	4	0,05								
201604	2	16	4	0,04								
201704	2	17	4	0,05								
201804	2	18	4	0,06								
201904	2	19	4	0,06								
202004	2	20	4	0,06								
202104	2	21	4	0,08								
202204	2	22	4	0,08								
202304	2	23	4	0,08								
202404	2	24	4	0,07								
202504	2	25	4	0,08								
202604	2	26	4	0,07								
202704	2	27	4	0,06								
202803	2	28	3	0,06								
202804	2	28	4	0,06								
202903	2	29	3	0,06								
202904	2	29	4	0,06								
203003	2	30	3	0,06								
203004	2	30	4	0,06								
300104	3	1	4	0,06								
300105	3	1	5	0,06								
300204	3	2	4	0,06								
300205	3	2	5	0,06								
300304	3	3	4	0,06								
300305	3	3	5	0,07								
300404	3	4	4	0,06								
300405	3	4	5	0,07								
300504	3	5	4	0,06								
300604	3	6	4	0,06								
300704	3	7	4	0,06								
300804	3	8	4	0,06								
300904	3	9	4	0,07								
301004	3	10	4	0,07								
301104	3	11	4	0,07								
301204	3	12	4	0,08								
301304	3	13	4	0,08								
301404	3	14	4	0,08								
301504	3	15	4	0,06								
301604	3	16	4	0,06								
301704	3	17	4	0,06								
301804	3	18	4	0,07								
301904	3	19	4	0,06								
302004	3	20	4	0,06								
302104	3	21	4	0,06								
302204	3	22	4	0,06								
302304	3	23	4	0,07								
302404	3	24	4	0,08								
302504	3	25	4	0,07								
302604	3	26	4	0,07								
302704	3	27	4	0,07								
302803	3	28	3	0,06								
